"Merk & Model";"Bouwjaar";"Uitvoering";"Kenteken";"APK tot";"Brandstof";"Kilometerstand";"Transmissie";"Verbruik";"Prijs";"Topsnelheid";"Kosten p/m";"Opties";"Aantal deuren";"Wegenbelasting";"Reparaties en onderhoud";"Banden";"Brandstof verbruik / maand";"Totale kosten per maand";"Per jaar";"APK vervaldatum";"Aantal eigenaren tot en met nu";"Nieuwprijs vanaf";"Gemiddeld brandstof verbruik";"Remmen voor";"Remmen achter";"url"
"Lancia Ypsilon";"2013";"0.9 TWINAIR 85PK START&STOP";"4-SBR-46";"27 augustus 2020";"Benzine";"41.202 km";"Handgeschakeld 5 versnellingen";"23,81";"6.950,00";"176 km/h";"140,72";"Startonderbreker , Bluetooth , Boordcomputer , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Start-stop-systeem , Verwarmdebuitenspiegels , USB , Elektrischeramen , ABS , Airbags , Radio , Lichtmetalenvelgen , Elektrischeachterklep , Metalliclak";"5";"27,33";"37,11";"10,38";"65,90";"140,72";"1.688,76";"27 augustus 2020";"2";"14.060,00";"23,81";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/lancia/m1362427575-lancia-ypsilon-0-9-twinair-85pk-start-stop-2013-zwart.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Mitsubishi Space Star";"2013";"1.0 MPI 52KW";"6-KFD-70";"29 maart 2019";"Benzine";"25.480 km";"Handgeschakeld 5 versnellingen";"25";"6.249,00";"172 km/h";"123,61";"Startonderbreker , Boordcomputer , Centralevergrendeling , Airconditioning , Elektrischeramen , ABS , Mistlampen , Airbags , Radio , Metalliclak";"5";"20,67";"34,88";"5,25";"62,81";"123,61";"1.483,32";"29 maart 2019";"1";"10.579,00";"25";"Schijfrem";"Schijfrem";"https://www.marktplaats.nl/a/auto-s/mitsubishi/m1363621060-mitsubishi-space-star-1-0-mpi-bj2013-zwart-airco-elek-pakket.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Ford Focus";"2012";"1.0 EcoBoost Lease Trend NAVIGATIE !! BLUETOOTH !! APK tot 06-2020 !!";"99-XLG-9";"27 juni 2020";"Benzine";"186.370 km";"Handgeschakeld 5 versnellingen";"20,83";"6.475,00";"185 km/h";"190,16";"CruiseControl , Startonderbreker , Bluetooth , Boordcomputer , Centralevergrendeling , Navigatiesysteem , Airconditioning , Start-stop-systeem , Traction-control , Parkeersensor , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags , Radio , Metalliclak";"5";"59,67";"41,62";"13,50";"75,37";"190,16";"2.281,92";"27 juni 2020";"2";"20.235,00";"20,83";"Schijfrem";"Schijfrem";"https://www.marktplaats.nl/a/auto-s/ford/m1357943153-ford-focus-1-0-ecoboost-lease-trend-navigatie-bluetooth.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Ford Fiesta";"2013";"1.0 59KW/80PK 3D";"1-KXF-33";"01 augustus 2019";"Benzine";"78.209 km";"Handgeschakeld 5 versnellingen";"23,26";"6.990,00";"165 km/h";"137,61";"Startonderbreker , Bluetooth , Boordcomputer , Climatecontrol , Centralevergrendeling , Navigatiesysteem , Elektrischebuitenspiegels , Sportstoelen , USB , Elektrischeramen , ABS , Airbags , Isofix , Alarm , Radio , Lichtmetalenvelgen , Metalliclak";"3";"27,33";"35,88";"6,88";"67,52";"137,61";"1.651,32";"01 augustus 2019";"3";"15.690,00";"23,26";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/ford/m1356515634-ford-fiesta-1-0-style-80-pk-navigatie-n-a-p-inruil-mogelijk.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Peugeot 208";"2014";"1.2 VTI 60KW/82PK 5-D";"RB-241-D";;"Benzine";"75.068 km";"Handgeschakeld 5 versnellingen";"22,22";"7.000,00";"175 km/h";"140,72";"CruiseControl , Bluetooth , Boordcomputer , Centralevergrendeling , Airconditioning , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags";"5";"27,33";"35,61";"7,12";"70,66";"140,72";"1.688,76";;"-";"18.205,00";"22,22";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/peugeot/m1358764847-peugeot-208-1-2-vti-active.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Kia Rio";"2012";"1.2 CVVT PLUS PACK AIRCO/LED/MOOIE AUTO";"11-TVV-4";"14 mei 2020";"Benzine";"120.498 km";"Handgeschakeld 5 versnellingen";"20,83";"6.850,00";"172 km/h";"156,19";"Startonderbreker , Boordcomputer , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Verwarmdebuitenspiegels , Elektrischeramen , ABS , Mistlampen , ElectronicStabilityProgram(ESP) , Airbags , Alarm , Radio , Metalliclak";"3";"35,33";"38,50";"7,00";"75,37";"156,19";"1.874,40";"14 mei 2020";"1";"14.481,00";"20,83";"-";"-";"https://www.marktplaats.nl/a/auto-s/kia/m1363365939-kia-rio-1-2-cvvt-plus-pack-airco-led-mooie-auto-bj-2012.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Opel Corsa";"2015";"1.0 Turbo Edition Airco Cruise 2x pdc multimedia";"GF-200-J";"30 april 2019";"Benzine";"96.420 km";"Handgeschakeld 6 versnellingen";"21,74";"6.999,00";"180 km/h";"159,07";"Startonderbreker , Boordcomputer , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Start-stop-systeem , Parkeersensor , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags , Alarm , Radio";"5";"43,33";"36,11";"10,62";"69,00";"159,07";"1.908,84";"30 april 2019";"4";"18.330,00";"21,74";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/opel/m1359976550-opel-corsa-1-0-turbo-edition-airco-cruise-2x-pdc-multimedia.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Lancia Ypsilon";"2011";"0.9 TwinAir Gold";"40-RXS-3";;"Benzine";"63.846 km";"Handgeschakeld 5 versnellingen";"23,81";"5.950,00";"176 km/h";"143,86";"Startonderbreker , Boordcomputer , Climatecontrol , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Start-stop-systeem , Elektrischestoelverstelling , Verwarmdebuitenspiegels , Elektrischeramen , ABS , Mistlampen , Airbags , Radio";"5";"27,33";"40,25";"10,38";"65,90";"143,86";"1.726,32";;"2";"15.926,00";"23,81";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/lancia/m1364275993-lancia-ypsilon-0-9-twinair-gold.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Ford Fiesta";"2013";"1.0 Benzine 'FaceLift' 5Drs 2013 Airco-NAP-Garanti";"7-KVK-21";"25 juli 2019";"Benzine";"155.042 km";"Handgeschakeld 5 versnellingen";"23,26";"6.795,00";"155 km/h";"143,35";"CruiseControl , Startonderbreker , Centralevergrendeling , Elektrischebuitenspiegels , Airconditioning , Start-stop-systeem , Verwarmdebuitenspiegels , Elektrischeramen , ABS , ElectronicStabilityProgram(ESP) , Airbags , Isofix , Alarm , Radio , Metalliclak";"5";"35,33";"35,00";"5,50";"67,52";"143,35";"1.720,20";"25 juli 2019";"1";"15.145,00";"23,26";"Schijfrem";"Trommelrem";"https://www.marktplaats.nl/a/auto-s/ford/m1359057886-ford-fiesta-1-0-benzine-facelift-5drs-2013-airco-nap-garan.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
"Ford Focus";"2012";"1.0 EcoBoost 100pk ECOnetic TITANIUM";"59-XJG-5";"18 april 2020";"Benzine";"197.442 km";"Handgeschakeld 5 versnellingen";"20,83";"6.950,00";"185 km/h";"190,16";"CruiseControl , Startonderbreker , Bluetooth , Navigatiesysteem , Elektrischebuitenspiegels , Parkeersensor , USB , Elektrischeramen , ElectronicStabilityProgram(ESP) , Isofix , Lichtmetalenvelgen , Boordcomputer , Climatecontrol , Centralevergrendeling , Airconditioning , Start-stop-systeem , Verwarmdebuitenspiegels , ABS , Mistlampen , Airbags , Parkeerassistent , Radio , Trekhaak";"4";"59,67";"41,62";"13,50";"75,37";"190,16";"2.281,92";"18 april 2020";"3";"22.490,00";"20,83";"Schijfrem";"Schijfrem";"https://www.marktplaats.nl/a/auto-s/ford/m1363395494-ford-focus-1-0-ecoboost-100pk-econetic-titanium-zeer-mooie-f.html?c=efb2ef4dc323389c4f92ed10afa33e3a&previousPage=lr"
